"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"tadzhiki v SSSR";"222800";"1986_5";"Tajiks outside Tajikistan, Tajiks outside Tajikistan";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"tadzhiki v Irane";"222800";"1986_5";"Tajiks outside Tajikistan, Tajiks outside Tajikistan";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"tadzhiki kuljabskoj oblasti / Kuljaba";"232450";"1957_2";"pritoki r. Vakhsh, tadzhiki";NA;"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"tadzhiki kuljabskoj oblasti / Kuljaba";"232450";"1957_2";"pritoki r. Vakhsh, tadzhiki";NA;"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"narody Kavkaza";"tadzhiki";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"tadzhiki";"uzbeki";"235044";"1989_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Sibiri";"tadzhiki";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"narody Srednej Azii i Kazakhstana";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"uzbeki";"235044";"1989_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"narody Sibiri";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Srednej Azii i Kazakhstana";"uzbeki";"235044";"1989_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Sibiri";"narody Srednej Azii i Kazakhstana";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"sredneaziatskie araby / Central Asian Arabs";"tadzhiki";"236685";"1957_2";"Groups, Groups";"past: pre-Russian Empire / pre-Russian colonialism";NA;NA;"language / terminology";"proximity / similarity"
"narody Gindukusha";"tadzhiki";"236810";"1957_2";"Groups, Groups";"past: pre-Islamic / pre-Arab conquest";NA;NA;"language / terminology";"proximity / similarity"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"family structure / semejnye otnoshenija";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"relikty / relics";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"gender relations / polozhenie zhensshiny";NA
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"family structure / semejnye otnoshenija";NA
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"relikty / relics";NA
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"gender relations / polozhenie zhensshiny";NA
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"family structure / semejnye otnoshenija";NA
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"relikty / relics";NA
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"gender relations / polozhenie zhensshiny";NA
"tadzhiki";"uzbeki";"239339";"1967_4";"Groups, Central Asian titular nations";NA;"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"influence"
"juzhnye tadzhiki / Southern Tajikistan Tajiks";"severnye tadzhiki / Northern Tajikistan Tajiks";"243818";"1981_6";"tadzhiki, tadzhiki";"present";"Factual Statement by Author";NA;"genes / genetic features";"difference"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija / magical beliefs";"proximity / similarity"
"musul'manskie narody Kavkaza";"tadzhiki";"248827";"1980_6";"narody Kavkaza, Groups";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"musul'manskie narody Kavkaza";"tadzhiki";"248827";"1980_6";"narody Kavkaza, Groups";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija / magical beliefs";"proximity / similarity"
"musul'manskie narody Srednej Azii";"tadzhiki";"248827";"1980_6";"narody Srednej Azii, Groups";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"musul'manskie narody Srednej Azii";"tadzhiki";"248827";"1980_6";"narody Srednej Azii, Groups";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija / magical beliefs";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki";"251012";"1957_2";"Groups in Afghanistan, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki";"251012";"1957_2";"Groups in Afghanistan, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki";"251012";"1957_2";"Groups in Afghanistan, groups in mountainous regions";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki";"251012";"1957_2";"Groups in Afghanistan, groups in mountainous regions";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"Groups in Afghanistan, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"Groups in Afghanistan, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"Groups in Afghanistan, gornye tadzhiki";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"Groups in Afghanistan, gornye tadzhiki";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups in Afghanistan, Groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups in Afghanistan, Groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups in Afghanistan, Groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups in Afghanistan, Groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"byvshij Gissarskij bekstv";"251012";"1957_2";"Groups in Afghanistan, Gissar";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"byvshij Gissarskij bekstv";"251012";"1957_2";"Groups in Afghanistan, Gissar";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"byvshij Gissarskij bekstv";"251012";"1957_2";"Groups in Afghanistan, Gissar";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"byvshij Gissarskij bekstv";"251012";"1957_2";"Groups in Afghanistan, Gissar";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Groups in Afghanistan, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Groups in Afghanistan, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Groups in Afghanistan, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Groups in Afghanistan, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups in Afghanistan, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups in Afghanistan, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"Karategin";"251012";"1957_2";"Groups in Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"Karategin";"251012";"1957_2";"Groups in Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"Karategin";"251012";"1957_2";"Groups in Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"Karategin";"251012";"1957_2";"Groups in Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"groups in mountainous regions, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"groups in mountainous regions, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"groups in mountainous regions, gornye tadzhiki";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"groups in mountainous regions, gornye tadzhiki";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"narody Gindukusha";"251012";"1957_2";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"narody Gindukusha";"251012";"1957_2";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"narody Gindukusha";"251012";"1957_2";"groups in mountainous regions, Groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"narody Gindukusha";"251012";"1957_2";"groups in mountainous regions, Groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"narody Gindukusha";"251012";"1957_2";"gornye tadzhiki, Groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"narody Gindukusha";"251012";"1957_2";"gornye tadzhiki, Groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"narody Gindukusha";"251012";"1957_2";"gornye tadzhiki, Groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"narody Gindukusha";"251012";"1957_2";"gornye tadzhiki, Groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"narody Gindukusha";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"narody Gindukusha";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"narody Gindukusha";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"narody Gindukusha";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Groups, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Gissar, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Gissar, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Gissar, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Gissar, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Southern Tajikistan, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Southern Tajikistan, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Southern Tajikistan, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Southern Tajikistan, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"bassejn / dolina Zeravshan";"Ferghana / Ferganskaja dolina";"251988";"1963_6";"Zeravshan, Northern Tajikistan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"Ferghana / Ferganskaja dolina";"251988";"1963_6";"Zeravshan, Northern Tajikistan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"bassejn / dolina Zeravshan";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"bassejn / dolina Zeravshan";"nizhnij Pjandzh";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"nizhnij Pjandzh";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"Ferghana / Ferganskaja dolina";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"Ferghana / Ferganskaja dolina";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"Ferghana / Ferganskaja dolina";"nizhnij Pjandzh";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"Ferghana / Ferganskaja dolina";"nizhnij Pjandzh";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"nizhnij Pjandzh";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
