"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"attribute"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"urban"
"Leninabadskij rajon / oblast' / kraj";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"207461";"1955_4";"Northern Tajikistan, Leninabadskij rajon / oblast' / kraj";"present";NA;NA;"progressive / peredovyj / novyj / efficient"
"Leninabadskij rajon / oblast' / kraj";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"207461";"1955_4";"Northern Tajikistan, Leninabadskij rajon / oblast' / kraj";"present";NA;NA;"growing (economy,  production)"
"gornye tadzhiki bassejna r. Khingou";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"225450";"1957_2";"Groups in Iran, gornye tadzhiki";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki bassejna r. Khingou";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"225450";"1957_2";"Groups in Iran, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"225450";"1957_2";"Groups in Iran, groups in mountainous regions";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"225450";"1957_2";"Groups in Iran, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"225450";"1957_2";"gornye tadzhiki, groups in mountainous regions";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"225450";"1957_2";"gornye tadzhiki, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"Groups, kirgizy";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"Groups, kirgizy";"present";"Factual Statement by Author";NA;"flawed / in need of improvement"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"Groups, kirgizy";"present";"Factual Statement by Author";NA;"atheist / non-spiritual / materialist"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"Groups, kirgizy";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"egalitarian / liberated"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"egalitarian / liberated"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"egalitarian / liberated"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"democratic"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"246909";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";NA;NA;NA;"Muslim"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"246909";"1989_4";"Central Asian titular nations, Tajiks outside the Tajik SSR";NA;NA;NA;"religious"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"superstitious"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"Muslim"
"musul'manskie narody Kavkaza";"tadzhiki";"248827";"1980_6";"narody Kavkaza, Groups";"past";"Factual Statement by Author";NA;"superstitious"
"musul'manskie narody Kavkaza";"tadzhiki";"248827";"1980_6";"narody Kavkaza, Groups";"past";"Factual Statement by Author";NA;"Muslim"
"kazakhi";"musul'manskie narody Kavkaza";"248827";"1980_6";"narody Kavkaza, Central Asian titular nations";"past";"Factual Statement by Author";NA;"superstitious"
"kazakhi";"musul'manskie narody Kavkaza";"248827";"1980_6";"narody Kavkaza, Central Asian titular nations";"past";"Factual Statement by Author";NA;"Muslim"
"musul'manskie narody Srednej Azii";"tadzhiki";"248827";"1980_6";"narody Srednej Azii, Groups";"past";"Factual Statement by Author";NA;"superstitious"
"musul'manskie narody Srednej Azii";"tadzhiki";"248827";"1980_6";"narody Srednej Azii, Groups";"past";"Factual Statement by Author";NA;"Muslim"
"kazakhi";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Srednej Azii, Central Asian titular nations";"past";"Factual Statement by Author";NA;"superstitious"
"kazakhi";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Srednej Azii, Central Asian titular nations";"past";"Factual Statement by Author";NA;"Muslim"
"kazakhi";"tadzhiki";"248827";"1980_6";"Groups, Central Asian titular nations";"past";"Factual Statement by Author";NA;"superstitious"
"kazakhi";"tadzhiki";"248827";"1980_6";"Groups, Central Asian titular nations";"past";"Factual Statement by Author";NA;"Muslim"
"bassejn / dolina Zeravshan";"Ferghana / Ferganskaja dolina";"251988";"1963_6";"Zeravshan, Northern Tajikistan";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"bassejn / dolina Zeravshan";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"bassejn / dolina Zeravshan";"nizhnij Pjandzh";"251988";"1963_6";"Zeravshan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"Ferghana / Ferganskaja dolina";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"Ferghana / Ferganskaja dolina";"nizhnij Pjandzh";"251988";"1963_6";"Northern Tajikistan, pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"nizhnij Pjandzh";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"russkij narod / Russians";"tadzhiki";"25403";"1960_2";"Groups, Groups";"past: pre-Soviet";NA;NA;"progressive / progressivnyj"
"russkij narod / Russians";"tadzhiki";"25403";"1960_2";"Groups, Groups";"past: pre-Soviet";NA;NA;"democratic"
"gornye tadzhiki";"narody Srednej Azii";"257552";"1957_2";"groups in mountainous regions, narody Srednej Azii i Kazakhstana";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"Muslim"
"narody Srednej Azii i Kazakhstana";"tjurki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"tadzhiki";"tjurki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"Central Asia / Srednjaja Azija";"tjurki";"262394";"1990_4";"Groups, Locations";NA;NA;NA;"Muslim"
"narody Sibiri";"tjurki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"Central Asia / Srednjaja Azija";"narody Srednej Azii i Kazakhstana";"262394";"1990_4";"Groups, Locations";NA;NA;NA;"Muslim"
"narody Sibiri";"narody Srednej Azii i Kazakhstana";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"Central Asia / Srednjaja Azija";"tadzhiki";"262394";"1990_4";"Groups, Locations";NA;NA;NA;"Muslim"
"narody Sibiri";"tadzhiki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"Muslim"
"Central Asia / Srednjaja Azija";"narody Sibiri";"262394";"1990_4";"Locations, Groups";NA;NA;NA;"Muslim"
"pamircy (Afghanistan)";"vakhancy";"263590";"1956_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"pamircy (Afghanistan)";"shugnancy";"263590";"1956_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"pamircy (Afghanistan)";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Groups in Afghanistan, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"pamircy (Afghanistan)";"sarykol'cy";"263590";"1956_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"pamircy (Afghanistan)";"roshancy";"263590";"1956_2";"Groups in Afghanistan, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"shugnancy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"vakhancy";"263590";"1956_2";"Pamir groups, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"sarykol'cy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"roshancy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"shugnancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Pamir groups, Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"sarykol'cy";"shugnancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"roshancy";"shugnancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"sarykol'cy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"roshancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"roshancy";"sarykol'cy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"isolated / otdalennyj / trudnodostupnyj"
"tadzhiki";"uzbeki";"273648";"1963_6";"Groups, Central Asian titular nations";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Goron";"Shugnan";"274751";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Goron";"Rushan / Rushon";"274751";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Goron";"Ishkashim / Ishkashimskij rajon";"274751";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Rushan / Rushon";"Shugnan";"274751";"1971_1";"Pamir, Pamir";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Ishkashim / Ishkashimskij rajon";"Shugnan";"274751";"1971_1";"Pamir, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Ishkashim / Ishkashimskij rajon";"Rushan / Rushon";"274751";"1971_1";"Pamir, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Shugnan";"Vakhan";"274911";"1971_1";"Pamir, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Rushan / Rushon";"Shugnan";"274911";"1971_1";"Pamir, Pamir";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Rushan / Rushon";"Vakhan";"274911";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Pamir";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"tadzhiki";"uzbeki";"276868";"1963_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Karakalpakija";"Tajikistan / TadzhSSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"changing / in a process of change"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"changing / in a process of change"
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"changing / in a process of change"
"Ishkashim / Ishkashimskij rajon";"Pamir";"282066";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Locations";"present";"Factual Statement by Author";NA;"archaic / arkhaichno"
"Goron";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Goron";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Afganskij Badakhshan";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Afganskij Badakhshan";"Vakhan";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Goron";"Ishkashim / Ishkashimskij rajon";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Goron";"Ishkashim / Ishkashimskij rajon";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Afganskij Badakhshan";"Goron";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Afganskij Badakhshan";"Goron";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Afganskij Badakhshan";"Ishkashim / Ishkashimskij rajon";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"flawed / in need of improvement"
"Afganskij Badakhshan";"Ishkashim / Ishkashimskij rajon";"283224";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"zastojnyj / non-innovative"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"innovative"
"Goron";"Vakhan";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"innovative"
"Goron";"Ishkashim / Ishkashimskij rajon";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"innovative"
"tadzhiki";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"tadzhiki";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"tadzhiki";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"tadzhiki";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"kazakhi";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"kazakhi";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kazakhi";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kazakhi";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"kirgizy";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"kirgizy";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kirgizy";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kirgizy";"tadzhiki";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"unique / locally specific / svoeobraznyj / samobytnyj"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"changing / in a process of change"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"jazgulemcy";"rushancy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"bartangcy";"rushancy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"goroncy / gorancy";"rushancy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"bartangcy";"jazgulemcy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"goroncy / gorancy";"jazgulemcy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"bartangcy";"goroncy / gorancy";"293551";"1975_4";"Pamir groups, Pamir groups";"past: pre-Soviet";NA;NA;"traditional / narodnyj / nacional'nyj"
"gornaja chast' Gissary";"Karategin";"296205";"1987_1";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"gornaja chast' Gissary";"gornye rajony Kuljabskoj oblasti";"296205";"1987_1";"Gissar, Kuljabskaja oblast' / Kuljab";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"Darvaz";"gornaja chast' Gissary";"296205";"1987_1";"Gissar, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"gornaja chast' Gissary";"verkhovya Matchi";"296205";"1987_1";"Gissar, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"gornye rajony Kuljabskoj oblasti";"Karategin";"296205";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Kuljabskaja oblast' / Kuljab";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"Darvaz";"Karategin";"296205";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"Karategin";"verkhovya Matchi";"296205";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"Darvaz";"gornye rajony Kuljabskoj oblasti";"296205";"1987_1";"Kuljabskaja oblast' / Kuljab, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"gornye rajony Kuljabskoj oblasti";"verkhovya Matchi";"296205";"1987_1";"Kuljabskaja oblast' / Kuljab, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"Darvaz";"verkhovya Matchi";"296205";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"belligerent"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"karategini Fergany / karategincy Fergany";"301592";"1987_1";"population of Ferghana, gornye tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"loyal / trustworthy"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Citation informant, local population, interviewee";NA;"popular / valued by others"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Citation informant, local population, interviewee";NA;"physically strong"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Citation informant, local population, interviewee";NA;"hard-working"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"popular / valued by others"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"physically strong"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"hard-working"
