"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"ravninnye tadzhiki";"uzbeki";"236833";"1989_4";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Tajiks outside the Tajik SSR, Central Asian titular nations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Tajiks outside the Tajik SSR, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"238816";"1989_4";"Tajiks outside the Tajik SSR, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"239639";"1967_5";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"246909";"1989_4";"Tajiks outside the Tajik SSR, Central Asian titular nations";NA;NA;NA;"battle against religion"
"russkij narod / Russians";"tadzhiki";"25403";"1960_2";"Groups, Groups";"past: pre-Soviet";NA;NA;"pre-Soviet modernization during Russian colonial rule"
"tjurki doliny Kzyl-Su";"tjurki doliny Yakh-Su";"27793";"1960_1";"tjurki, tjurki";"present";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"tjurki doliny Yakh-Su";"27793";"1960_1";"Groups, tjurki";"present";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"tjurki doliny Kzyl-Su";"27793";"1960_1";"Groups, tjurki";"present";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"modernization / socialist progress"
"Karakalpakija";"Tajikistan / TadzhSSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"modernization / socialist progress"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"modernization / socialist progress"
"Goron";"Vakhan";"284450";"1971_1";"Pamir, Pamir";"past: pre-Soviet";NA;"Continuity";"pre-Soviet modernization during Russian colonial rule"
"Goron";"Ishkashim / Ishkashimskij rajon";"284450";"1971_1";"Pamir, Pamir";"past: pre-Soviet";NA;"Continuity";"pre-Soviet modernization during Russian colonial rule"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"284450";"1971_1";"Pamir, Pamir";"past: pre-Soviet";NA;"Continuity";"pre-Soviet modernization during Russian colonial rule"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"battle against religion"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, Groups";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, Groups";"past: early Soviet";"Factual Statement by Author";NA;"battle against religion"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, Groups";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, Groups";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"Groups, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"Groups, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"battle against religion"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"Groups, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"Groups, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"28726";"1964-6";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"28726";"1964-6";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"28726";"1964-6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Ishkashim / Ishkashimskij rajon";"Russia / RSFSR";"288268";"1971_1";"Pamir, Locations";"present";"Citation informant, local population, interviewee";"Rupture";"modernization / socialist progress"
"Ishkashim / Ishkashimskij rajon";"Pamir";"288268";"1971_1";"Pamir, Locations";"present";"Citation informant, local population, interviewee";"Rupture";"modernization / socialist progress"
"Pamir";"Russia / RSFSR";"288268";"1971_1";"Locations, Locations";"present";"Citation informant, local population, interviewee";"Rupture";"modernization / socialist progress"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kazakhi";"tadzhiki";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"kazakhi";"tadzhiki";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kirgizy";"tadzhiki";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"tadzhiki";"29354";"1962_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"tadzhiki";"turkmeny";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"tadzhiki";"turkmeny";"29354";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"Ferghana / Ferganskaja dolina";"Karategin";"298880";"1987_1";"Northern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";NA;NA;"pre-Soviet modernization during Russian colonial rule"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"uzbeki (Afghanistan)";"300212";"1967_4";"Tajiks outside the Tajik SSR, Groups in Afghanistan";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Darvaz";"gornye rajony Kuljabskoj oblasti / mountainous regions Kuljab";"301995";"1973_5";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Kuljabskaja oblast' / Kuljab";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Darvaz";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"301995";"1973_5";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornye oblasti Tadzh. / mountainous regions of Tajikistan";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Darvaz";"Karategin";"301995";"1973_5";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"gornye rajony Kuljabskoj oblasti / mountainous regions Kuljab";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"301995";"1973_5";"Kuljabskaja oblast' / Kuljab, gornye oblasti Tadzh. / mountainous regions of Tajikistan";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"gornye rajony Kuljabskoj oblasti / mountainous regions Kuljab";"Karategin";"301995";"1973_5";"Kuljabskaja oblast' / Kuljab, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"Karategin";"301995";"1973_5";"gornye oblasti Tadzh. / mountainous regions of Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;"Rupture";"slijanie / sblizhenie / fusion / convergence"
"gorcy-tadzhiki / tadzhiki-gorcy";"ravninnye tadzhiki";"311491";"1987_1";"gornye tadzhiki, groups in plainland regions";"past: pre-Soviet";"Citation other sources of knowledge: f.e. statistics";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"karategini Fergany / karategincy Fergany";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"312696";"1987_1";"population of Ferghana, ravninnye tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"karategini Fergany / karategincy Fergany";"uzbeki Fergany / Uzbeks of Ferghana";"313054";"1987_1";"population of Ferghana, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"karategini Fergany / karategincy Fergany";"uzbekskoe naselenie Fergany (Ferghana, Tajikistan)";"313739";"1987_1";"population of Ferghana, uzbeki";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"tjurki-barlacy Surkhandar'inskoj oblasti Uzbekistana";"31421";"1960_1";"Groups, tjurki";NA;NA;NA;"slijanie / sblizhenie / fusion / convergence"
"sarty / Sarts";"tadzhiki";"325436";"1987_1";"Groups, Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"gornye tadzhiki";"ravninnye tadzhiki";"327164";"1987_1";"groups in mountainous regions, groups in plainland regions";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"gornye tadzhiki";"ravninnye tadzhiki";"327164";"1987_1";"groups in mountainous regions, groups in plainland regions";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornye tadzhiki";"ravninnye tadzhiki";"327164";"1987_1";"groups in mountainous regions, groups in plainland regions";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"uzbeki";"327603";"1987_1";"gornye tadzhiki, Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"uzbeki";"327603";"1987_1";"gornye tadzhiki, Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"ravniny severnogo Tadzhikistana/ Northern Tajikistan plainlands";"Southern Tajikistan";"331750";"1969_6";"plainland regions Northern Tajikistan, Tajikistan / TadzhSSR";"present";NA;NA;"modernization / socialist progress"
"naselenie / zhiteli Sovetskogo Badakhshana";"tadzhiki";"345078";"1963_1";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"Vakhio-Bolo";"348724";"1971_2";"Groups, Southern Tajikistan";"past: early Soviet";"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"Tajikistan / TadzhSSR, Southern Tajikistan";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"Tajikistan / TadzhSSR, Southern Tajikistan";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"Vakhio-Bolo";"351291";"1971_2";"gornye tadzhiki, Southern Tajikistan";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"351291";"1971_2";"gornye tadzhiki, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"351291";"1971_2";"gornye tadzhiki, Tajikistan / TadzhSSR";"past: Stalinist era / 1930s-40s";NA;"Rupture";"control over nature / making land arable / osvoenie zemel'"
"Armenija";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Armenija";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Armenija";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"353238";"1986_3";"Locations, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Armenija";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"353238";"1986_3";"Locations, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";NA;"failed modernization"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Tajikistan / TadzhSSR, Locations";"present";"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Tajikistan / TadzhSSR, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"uzbeki";"356605";"1962_2";"""cygane"" / pejorative exonym for the Romani people, Central Asian titular nations";"future";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"356605";"1962_2";"""cygane"" / pejorative exonym for the Romani people, Tajiks outside the Tajik SSR";"future";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"356605";"1962_2";"Tajiks outside the Tajik SSR, Central Asian titular nations";"future";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"tadzhiki";"357259";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kazakhi";"kirgizy";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"tadzhiki";"uzbeki";"357259";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kazakhi";"tadzhiki";"357259";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kazakhi";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"Historical Northern Tajikistan (Sogd + Ferghana)";"uzbeki";"357722";"1963_5";"Historical locations, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"Historical Northern Tajikistan (Sogd + Ferghana)";"Sogd";"357722";"1963_5";"Historical locations, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"Historical Northern Tajikistan (Sogd + Ferghana)";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"357722";"1963_5";"Historical locations, ravninnye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"Sogd";"uzbeki";"357722";"1963_5";"Historical Northern Tajikistan (Sogd + Ferghana), Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"357722";"1963_5";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"Sogd";"357722";"1963_5";"ravninnye tadzhiki, Historical Northern Tajikistan (Sogd + Ferghana)";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"battle against perezhitki / survivals"
"tadzhiki";"turkmeny";"358678";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"tadzhiki";"uzbeki";"358678";"1967_5";"Groups, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"turkmeny";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"turkmeny";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"tadzhiki";"358678";"1967_5";"Central Asian titular nations, Groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"azerbajdzhancy";"korejcy Srednej Azii";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"358956";"1962_2";"Groups, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"tatary";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"Russians in Central Asia";"358956";"1962_2";"Groups, russkij narod / Russians";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"358956";"1962_2";"Groups, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"tatary";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"Russians in Central Asia";"358956";"1962_2";"Groups, russkij narod / Russians";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"tatary";"358956";"1962_2";"Tajiks outside the Tajik SSR, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"uzbeki";"358956";"1962_2";"Tajiks outside the Tajik SSR, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"tatary";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Russians in Central Asia";"tadzhiki v Uzbekistane / Tajiks in Uzbekistan";"358956";"1962_2";"russkij narod / Russians, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Russians in Central Asia";"tatary";"358956";"1962_2";"russkij narod / Russians, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Russians in Central Asia";"uzbeki";"358956";"1962_2";"russkij narod / Russians, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"kazakhi";"kirgizy";"359803";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"gornye tadzhiki";"kazakhi";"359803";"1967_5";"groups in mountainous regions, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"gornye tadzhiki";"kirgizy";"359803";"1967_5";"groups in mountainous regions, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"Afganskij Badakhshan";"Darvaz";"361389";"1964_2";"Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";NA;NA;"battle against perezhitki / survivals"
"Afganskij Badakhshan";"Darvaz";"361389";"1964_2";"Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";NA;NA;"socialist internationalism / druzhba narodov"
"Afganskij Badakhshan";"Darvaz";"361389";"1964_2";"Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;NA;"battle against perezhitki / survivals"
"Afganskij Badakhshan";"Darvaz";"361389";"1964_2";"Afghanistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";NA;NA;"socialist internationalism / druzhba narodov"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kirgizija / Kirgizskaja SSR";"Tajikistan / TadzhSSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kazakhstan / Kazakhskaja SSR";"Tajikistan / TadzhSSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kazakhstan / Kazakhskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"36743";"1961_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"37108";"1961_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kazakhi";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"socialist internationalism / druzhba narodov"
