"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"tadzhiki";"predki / ancestors / osnova";"17858";"1964_1";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Nuratinskogo khrebta";"social relations / obsshestvenno-ekonomicheskie otnoshenija";"18003";"1964_1";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"social relations / obsshestvenno-ekonomicheskie otnoshenija";"18003";"1964_1";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"food / cooking / pissha";"185347";"1982_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"food / cooking / pissha";"185347";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"food / cooking / pissha";"185347";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"gornye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"groups in mountainous regions";"present";NA;"Continuity";"proximity / similarity"
"gornye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"groups in mountainous regions";"past";NA;"Continuity";"proximity / similarity"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"uzbeki";"present";NA;"Continuity";"proximity / similarity"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"uzbeki";"past";NA;"Continuity";"proximity / similarity"
"ravninnye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"186260";"1980_1";"groups in plainland regions";"present";NA;NA;"difference"
"gornye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"186260";"1980_1";"groups in mountainous regions";"present";NA;NA;"difference"
"uzbeki";"""racial type"" / rasovyj tip / rasa";"188227";"1962_3";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"""racial type"" / rasovyj tip / rasa";"188227";"1962_3";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Juzhnogo Tadzhikistana";"weddings / svadebnye obychai i obrjady / kalym";"188597";"1969_2";"uzbeki";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki severnogo Tadzh.  / Tajiks of Northern Tajikistan";"weddings / svadebnye obychai i obrjady / kalym";"188597";"1969_2";"tadzhiki";"present";"Factual Statement by Author";NA;"difference"
"jagnobcy / Yaghnobis";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"18876";"1964_4";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pripamirskie narodnosti / narody / pripamircy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"18876";"1964_4";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"18876";"1964_4";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"malochislennye etnograficheskie gruppy";"language / spoken (incl. dialects)";"193227";"1966_4";"Groups";"present";"Literature Review";NA;NA
"tadzhiki";"language / spoken (incl. dialects)";"193227";"1966_4";"Groups";"present";"Literature Review";NA;NA
"osedlye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"193421";"1969_2";"tadzhiki";"past";NA;NA;"influence"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"193421";"1969_2";"uzbeki";"past";NA;NA;"influence"
"kirgizy vostochnogo Pamira";"verovanija / mify / beliefs / myths";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"perezhitki / survivals";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"religion (Islam)";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"language / terminology";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"tadzhiki Vakhio";"verovanija / mify / beliefs / myths";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Vakhio";"perezhitki / survivals";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Vakhio";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Vakhio";"religion (Islam)";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Vakhio";"language / terminology";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Gissara";"verovanija / mify / beliefs / myths";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Gissara";"perezhitki / survivals";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Gissara";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Gissara";"religion (Islam)";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Gissara";"language / terminology";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"verovanija / mify / beliefs / myths";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"perezhitki / survivals";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"religion (Islam)";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"language / terminology";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"tadzhiki Karategina";"verovanija / mify / beliefs / myths";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Karategina";"perezhitki / survivals";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Karategina";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Karategina";"religion (Islam)";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"tadzhiki Karategina";"language / terminology";"199062";"1959_4";"groups in mountainous regions";NA;NA;NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"verovanija / mify / beliefs / myths";"200137";"1959_4";"Groups in Iran";NA;"Factual Statement by Author";NA;"proximity / similarity"
"sredneaziatskie araby / Central Asian Arabs";"verovanija / mify / beliefs / myths";"200137";"1959_4";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"verovanija / mify / beliefs / myths";"200137";"1959_4";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"oblasti k jugu i vostoku ot Gissarskogo khrebta";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200152";"1972_6";"Southern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k jugu i vostoku ot Gissarskogo khrebta";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"200152";"1972_6";"Southern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k jugu i vostoku ot Gissarskogo khrebta";"etnokul'turnoe razvitie / ethnocultural development";"200152";"1972_6";"Southern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k severu i zapadu ot Gissarskogo khrebta";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200152";"1972_6";"Northern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k severu i zapadu ot Gissarskogo khrebta";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"200152";"1972_6";"Northern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k severu i zapadu ot Gissarskogo khrebta";"etnokul'turnoe razvitie / ethnocultural development";"200152";"1972_6";"Northern Tajikistan";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"difference"
"oblasti k jugu i vostoku ot Gissarskogo khrebta";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200781";"1972_6";"Southern Tajikistan";"present";"Correction of cited research or literature";NA;"difference"
"oblasti k jugu i vostoku ot Gissarskogo khrebta";"etnokul'turnoe razvitie / ethnocultural development";"200781";"1972_6";"Southern Tajikistan";"present";"Correction of cited research or literature";NA;"difference"
"Western Pamirs / Sapadnyj Pamir";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200781";"1972_6";"Pamir";"present";"Correction of cited research or literature";NA;"difference"
"Western Pamirs / Sapadnyj Pamir";"etnokul'turnoe razvitie / ethnocultural development";"200781";"1972_6";"Pamir";"present";"Correction of cited research or literature";NA;"difference"
"Eastern Pamirs / Vostochnyj Pamir";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200781";"1972_6";"Pamir";"present";"Correction of cited research or literature";NA;"difference"
"Eastern Pamirs / Vostochnyj Pamir";"etnokul'turnoe razvitie / ethnocultural development";"200781";"1972_6";"Pamir";"present";"Correction of cited research or literature";NA;"difference"
"oblasti k severu i zapadu ot Gissarskogo khrebta";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"200781";"1972_6";"Northern Tajikistan";"present";"Correction of cited research or literature";NA;"difference"
"oblasti k severu i zapadu ot Gissarskogo khrebta";"etnokul'turnoe razvitie / ethnocultural development";"200781";"1972_6";"Northern Tajikistan";"present";"Correction of cited research or literature";NA;"difference"
"russkij narod / Russians";"clothing";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"influence"
"russkij narod / Russians";"clothing";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA;"influence"
"Tajik women / tadzhichki";"clothing";"20325";"1962_6";"tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"influence"
"Tajik women / tadzhichki";"clothing";"20325";"1962_6";"tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"influence"
"tadzhiki Nuratinskogo khrebta";"identity / self-description / samonazvanie / samosoznanie";"20740";"1964_1";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;NA
"Leninabadskij rajon / oblast' / kraj";"zemledelie / sel'skoe khosjajstvo / agriculture";"207461";"1955_4";"Northern Tajikistan";"present";NA;NA;NA
"Leninabadskij rajon / oblast' / kraj";"kolkhozes / sovkhozes / agricultural production";"207461";"1955_4";"Northern Tajikistan";"present";NA;NA;NA
"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"zemledelie / sel'skoe khosjajstvo / agriculture";"207461";"1955_4";"Leninabadskij rajon / oblast' / kraj";"present";NA;NA;NA
"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"kolkhozes / sovkhozes / agricultural production";"207461";"1955_4";"Leninabadskij rajon / oblast' / kraj";"present";NA;NA;NA
"kirgizy vostochnogo Pamira";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"208136";"1959_4";"kirgizy";NA;NA;NA;"difference"
"kirgizy vostochnogo Pamira";"etnicheskie priznaki / ethnic or anthropological features";"208136";"1959_4";"kirgizy";NA;NA;NA;"difference"
"kirgizy vostochnogo Pamira";"language / spoken (incl. dialects)";"208136";"1959_4";"kirgizy";NA;NA;NA;"difference"
"kirgizy vostochnogo Pamira";"religion (Islam)";"208136";"1959_4";"kirgizy";NA;NA;NA;"difference"
"pripamirskie tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"208136";"1959_4";"Pamiri groups";NA;NA;NA;"difference"
"pripamirskie tadzhiki";"etnicheskie priznaki / ethnic or anthropological features";"208136";"1959_4";"Pamiri groups";NA;NA;NA;"difference"
"pripamirskie tadzhiki";"language / spoken (incl. dialects)";"208136";"1959_4";"Pamiri groups";NA;NA;NA;"difference"
"pripamirskie tadzhiki";"religion (Islam)";"208136";"1959_4";"Pamiri groups";NA;NA;NA;"difference"
"kirgizy";"verovanija / mify / beliefs / myths";"208385";"1959_4";"Central Asian titular nations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie tadzhiki";"verovanija / mify / beliefs / myths";"208385";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"verovanija / mify / beliefs / myths";"208462";"1959_4";"kirgizy";NA;"Factual Statement by Author";NA;"difference"
"pripamirskie tadzhiki";"verovanija / mify / beliefs / myths";"208462";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"Russia / RSFSR";"education";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Russia / RSFSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Russia / RSFSR";"promyshlennoe proizvodstvo / industrialization";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Russia / RSFSR";"zemledelie / sel'skoe khosjajstvo / agriculture";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Russia / RSFSR";"khozjajstvo / economy";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Tajikistan / TadzhSSR";"education";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Tajikistan / TadzhSSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Tajikistan / TadzhSSR";"promyshlennoe proizvodstvo / industrialization";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Tajikistan / TadzhSSR";"zemledelie / sel'skoe khosjajstvo / agriculture";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"Tajikistan / TadzhSSR";"khozjajstvo / economy";"20901";"1972_4";"Locations";"past: early Soviet";"Factual Statement by Author";NA;"material support"
"uzbeki";"material'naja kul'tura / material culture";"21096";"1966_5";"Central Asian titular nations";"present";NA;"Continuity";"knowledge exchange"
"tadzhiki";"material'naja kul'tura / material culture";"21096";"1966_5";"Groups";"present";NA;"Continuity";"knowledge exchange"
"korejcy Srednej Azii";"material'naja kul'tura / material culture";"21096";"1966_5";"Groups";"present";NA;"Continuity";"knowledge exchange"
"gornye tadzhiki";"verovanija / mify / beliefs / myths";"211062";"1959_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;"proximity / similarity"
"gornye tadzhiki";"religioznye obrjady, simvoly / religious rites, symbols";"211062";"1959_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;"proximity / similarity"
"ismaility na Pamire";"verovanija / mify / beliefs / myths";"211062";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"ismaility na Pamire";"religioznye obrjady, simvoly / religious rites, symbols";"211062";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"gornye tadzhiki";"child birth / obychai i obrjady svjazannye s rozhdeniem";"211737";"1962_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"perezhitki / survivals";"211737";"1962_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"sledy pervobytnogo kommunizma / kul'tury";"211737";"1962_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"211737";"1962_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"zemledelie / sel'skoe khosjajstvo / agriculture";"213815";"1955_4";"Leninabadskij rajon / oblast' / kraj";"past: pre-Russian Empire / pre-Russian colonialism";NA;"Rupture";NA
"uzbeki";"family structure / semejnye otnoshenija";"216432";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"family structure / semejnye otnoshenija";"216432";"1989_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"verovanija / mify / beliefs / myths";"219882";"1959_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"verovanija / mify / beliefs / myths";"219882";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie tadzhiki";"religion (Islam)";"220848";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"jazgulemcy";"religion (Islam)";"220848";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"pripamirskie tadzhiki";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pripamirskie narodnosti / narody / pripamircy";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"ishkashimcy";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"religion (Islam)";"220917";"1959_4";"Groups";"present";"Factual Statement by Author";NA;"difference"
"shugnancy";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"rushancy";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"vakhancy";"religion (Islam)";"220917";"1959_4";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pripamirskie tadzhiki";"zemledelie / sel'skoe khosjajstvo / agriculture";"221417";"1957_2";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie tadzhiki";"use of specific tools or methods";"221417";"1957_2";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"verkhnee techenie r. Khingou";"zemledelie / sel'skoe khosjajstvo / agriculture";"221417";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"verkhnee techenie r. Khingou";"use of specific tools or methods";"221417";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Darvaza";"zemledelie / sel'skoe khosjajstvo / agriculture";"221417";"1957_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Darvaza";"use of specific tools or methods";"221417";"1957_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"use of specific tools or methods";"221863";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"difference"
"srednee i nizhnee techenie r. Khingou";"zemledelie / sel'skoe khosjajstvo / agriculture";"221863";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"difference"
"verkhnee techenie r. Khingou";"use of specific tools or methods";"221863";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"difference"
"verkhnee techenie r. Khingou";"zemledelie / sel'skoe khosjajstvo / agriculture";"221863";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"difference"
"rushancy";"verovanija / mify / beliefs / myths";"222276";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"jazgulemcy";"verovanija / mify / beliefs / myths";"222276";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"verovanija / mify / beliefs / myths";"222276";"1959_4";"Central Asian titular nations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"shugnancy";"verovanija / mify / beliefs / myths";"222276";"1959_4";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki v Irane";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"222800";"1986_5";"Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"222800";"1986_5";"Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"tadzhiki v SSSR";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"222800";"1986_5";"Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"Leninabadskij rajon / oblast' / kraj";"social relations / obsshestvenno-ekonomicheskie otnoshenija";"223524";"1955_4";"Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"Leninabadskij rajon / oblast' / kraj";"sledy pervobytnogo kommunizma / kul'tury";"223524";"1955_4";"Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"Leninabadskij rajon / oblast' / kraj";"relikty / relics";"223524";"1955_4";"Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"Tajikistan / TadzhSSR";"education";"22484";"1964-6";"Locations";"present";"Factual Statement by Author";NA;NA
"Tajikistan / TadzhSSR";"medicine / healthcare / health";"22484";"1964-6";"Locations";"present";"Factual Statement by Author";NA;NA
"Tajikistan / TadzhSSR";"communication (incl.  media)";"22484";"1964-6";"Locations";"present";"Factual Statement by Author";NA;NA
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"prazdniki / holidays / festivities";"225450";"1957_2";"Groups in Iran";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"prazdniki / holidays / festivities";"225450";"1957_2";"Groups in Iran";"present";"Factual Statement by Author";"Continuity";"proximity / similarity"
"gornye tadzhiki";"prazdniki / holidays / festivities";"225450";"1957_2";"groups in mountainous regions";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"proximity / similarity"
"gornye tadzhiki";"prazdniki / holidays / festivities";"225450";"1957_2";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"prazdniki / holidays / festivities";"225450";"1957_2";"gornye tadzhiki";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"prazdniki / holidays / festivities";"225450";"1957_2";"gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"proximity / similarity"
"tadzhiki";"verovanija / mify / beliefs / myths";"230822";"1959_4";"Groups";"present";"Factual Statement by Author";NA;NA
"kirgizy vostochnogo Pamira";"verovanija / mify / beliefs / myths";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA;NA
"tadzhiki kuljabskoj oblasti / Kuljaba";"zemledelie / sel'skoe khosjajstvo / agriculture";"232450";"1957_2";"tadzhiki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki kuljabskoj oblasti / Kuljaba";"use of specific tools or methods";"232450";"1957_2";"tadzhiki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"zemledelie / sel'skoe khosjajstvo / agriculture";"232450";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"use of specific tools or methods";"232450";"1957_2";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"narody Kavkaza";"stage of development";"235044";"1989_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"narody Sibiri";"stage of development";"235044";"1989_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"narody Srednej Azii i Kazakhstana";"stage of development";"235044";"1989_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"stage of development";"235044";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"stage of development";"235044";"1989_4";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Leninabadskij rajon / oblast' / kraj";"zemledelie / sel'skoe khosjajstvo / agriculture";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA;NA
"sredneaziatskie araby / Central Asian Arabs";"language / terminology";"236685";"1957_2";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";NA;NA;"proximity / similarity"
"tadzhiki";"language / terminology";"236685";"1957_2";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";NA;NA;"proximity / similarity"
"narody Gindukusha";"language / terminology";"236810";"1957_2";"Groups";"past: pre-Islamic / pre-Arab conquest";NA;NA;"proximity / similarity"
"tadzhiki";"language / terminology";"236810";"1957_2";"Groups";"past: pre-Islamic / pre-Arab conquest";NA;NA;"proximity / similarity"
"uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"gender relations / polozhenie zhensshiny";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"relikty / relics";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"family structure / semejnye otnoshenija";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"gender relations / polozhenie zhensshiny";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"relikty / relics";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"gornye tadzhiki";"family structure / semejnye otnoshenija";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA;NA
"ravninnye tadzhiki";"weddings / svadebnye obychai i obrjady / kalym";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA;NA
"ravninnye tadzhiki";"gender relations / polozhenie zhensshiny";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA;NA
"ravninnye tadzhiki";"relikty / relics";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA;NA
"ravninnye tadzhiki";"family structure / semejnye otnoshenija";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA;NA
"Leninabadskij rajon / oblast' / kraj";"zemledelie / sel'skoe khosjajstvo / agriculture";"236847";"1955_4";"Northern Tajikistan";"past: early Soviet";NA;NA;NA
"uzbeki";"housing / architecture / zhilisshe";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"political life";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
