"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups, Groups in Afghanistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Sin'czjan";"260894";"1966_2";"Locations, Locations";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"Eastern Iran";"Sin'czjan";"260894";"1966_2";"Locations, Iran";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"North-West India";"Sin'czjan";"260894";"1966_2";"Locations, India";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"Afghanistan";"Eastern Iran";"260894";"1966_2";"Locations, Iran";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"Afghanistan";"North-West India";"260894";"1966_2";"Locations, India";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"Eastern Iran";"North-West India";"260894";"1966_2";"Iran, India";"past: pre-Muslim";"Factual Statement by Author";NA;"paintings / rospisi / stennye rospisi / naskal'nye risunki";"influence"
"Central Asia / Srednjaja Azija";"tjurki";"262394";"1990_4";"Groups, Locations";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"narody Srednej Azii i Kazakhstana";"tjurki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"narody Sibiri";"tjurki";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"Central Asia / Srednjaja Azija";"narody Srednej Azii i Kazakhstana";"262394";"1990_4";"Locations, Groups";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"Central Asia / Srednjaja Azija";"narody Sibiri";"262394";"1990_4";"Locations, Groups";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"narody Sibiri";"narody Srednej Azii i Kazakhstana";"262394";"1990_4";"Groups, Groups";NA;NA;NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"difference"
"turkmeny";"uzbeki Khorezma";"265450";"1990_4";"uzbeki, Central Asian titular nations";NA;"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"ujgury";"uzbeki Khorezma";"265450";"1990_4";"uzbeki, Groups";NA;"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"turkmeny";"ujgury";"265450";"1990_4";"Central Asian titular nations, Groups";NA;"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Perednjaja Azija";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Perednjaja Azija";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Ancient Egypt";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Ancient Egypt";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Ancient Greece / Hellenic world";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Ancient Greece / Hellenic world";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"270092";"1990_4";"Groups, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Ancient Egypt";"Perednjaja Azija";"270092";"1990_4";"Locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Ancient Egypt";"Perednjaja Azija";"270092";"1990_4";"Locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Ancient Greece / Hellenic world";"Perednjaja Azija";"270092";"1990_4";"Locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Ancient Greece / Hellenic world";"Perednjaja Azija";"270092";"1990_4";"Locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Ancient Egypt";"Ancient Greece / Hellenic world";"270092";"1990_4";"Historical locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"shamanskij obrjad / verovanija / obychai shamanstvo";"proximity / similarity"
"Ancient Egypt";"Ancient Greece / Hellenic world";"270092";"1990_4";"Historical locations, Historical locations";"past: pre-Muslim";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Armenians";"zemledel'cheskie narody Srednej i Perednej Azii";"277037";"1969_4";"Locations, Groups";"present";NA;NA;"food / cooking / pissha";"proximity / similarity"
"kazakhi";"kirgizy";"2776";"1962_6";"Central Asian titular nations, Central Asian titular nations";NA;"Factual Statement by Author";NA;"profession / zanjatija";"difference"
"tjurki doliny Kzyl-Su";"tjurki doliny Yakh-Su";"27793";"1960_1";"tjurki, tjurki";"present";NA;NA;"language / spoken (incl. dialects)";"proximity / similarity"
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"family structure / semejnye otnoshenii / family life";NA
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"mirovozzrenie";NA
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"education";NA
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"byt / bytovyj uklad";NA
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"kul'tura / kul'turnye tradicii";NA
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"life on kolkhozes / kolkhoznoe krest'janstvo";NA
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"proximity / similarity"
"mongolo-tjurki: tjurkizirovannye mongol'skie plemena";"Mongols";"288175";"1968_1";"Groups, Locations";"past: pre-Muslim";NA;NA;"language / spoken (incl. dialects)";"influence"
"mongolo-tjurki: tjurkizirovannye mongol'skie plemena";"Mongols";"288175";"1968_1";"Groups, Locations";"past: pre-Muslim";NA;NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"influence"
"mongolo-tjurki: tjurkizirovannye mongol'skie plemena";"Mongols";"288175";"1968_1";"Groups, Locations";"past: pre-Muslim";NA;NA;"kul'tura / kul'turnye tradicii";"influence"
"mongolo-tjurki: tjurkizirovannye mongol'skie plemena";"Mongols";"288175";"1968_1";"Groups, Locations";"past: pre-Muslim";NA;NA;"remeslo";"influence"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kavkaz";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kirgizija / Kirgizskaja SSR";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kirgizija / Kirgizskaja SSR";"North-West India";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Kirgizija / Kirgizskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kazakhstan / Kazakhskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kavkaz";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kazakhstan / Kazakhskaja SSR";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kazakhstan / Kazakhskaja SSR";"North-West India";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Kazakhstan / Kazakhskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kavkaz";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"North-West India";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Ferghana (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Dzhizak";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Bukhara (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Kavkaz";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Zakavkas";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Bukhara (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"North-West India";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"Iran";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Bukhara (Uzbekistan)";"East Turkestan (Chinese)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Ferghana (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Uzbekistan / Uzbekskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Ferghana (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Kavkaz";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Zakavkas";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Ferghana (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"North-West India";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Ferghana (Uzbekistan)";"Iran";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Ferghana (Uzbekistan)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Dzhizak";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Kavkaz";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Zakavkas";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Dzhizak";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"North-West India";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"Iran";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Dzhizak";"East Turkestan (Chinese)";"28997";"1955_1";"Uzbekistan / Uzbekskaja SSR, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Kavkaz";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Azerbaijan / Azerbaidzahnskaja SSR";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"North-West India";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"Iran";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Azerbaijan / Azerbaidzahnskaja SSR";"East Turkestan (Chinese)";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kavkaz";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Kavkaz";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Kavkaz";"North-West India";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"Kavkaz";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Kavkaz";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"North-West India";"Zakavkas";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Zakavkas";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"North-West India";"28997";"1955_1";"Locations, India";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"Iran";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Afghanistan";"East Turkestan (Chinese)";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"Iran";"North-West India";"28997";"1955_1";"India, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"North-West India";"28997";"1955_1";"India, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"East Turkestan (Chinese)";"Iran";"28997";"1955_1";"Locations, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"use of specific tools or methods";"proximity / similarity"
"korejcy Srednej Azii";"uzbeki";"29002";"1966_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"clothing";"proximity / similarity"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"clothing";"difference"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"clothing";"difference"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"clothing";"difference"
"ajmaki (Afghanistan)";"tejmuri, zuri, tairi (Afghanistan)";"294636";"1967_4";"Groups in Afghanistan, Groups in Afghanistan";"present";"Factual Statement by Author";NA;"narodnaja gruppa / gruppa narodov";"proximity / similarity"
"Hindukush";"Northern Afghanistan";"295523";"1971_1";"Afghanistan, Afghanistan";"present";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Hindukush";"Northern Afghanistan";"295523";"1971_1";"Afghanistan, Afghanistan";"present";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Northern Afghanistan";"295523";"1971_1";"Afghanistan, Locations";"present";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Northern Afghanistan";"295523";"1971_1";"Afghanistan, Locations";"present";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Hindukush";"295523";"1971_1";"Afghanistan, Locations";"present";"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
